code,page Url,audio Url
PAL,https://macaulaylibrary.org/asset/93660961,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/93660961/audio
PAL,https://macaulaylibrary.org/asset/90942941,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90942941/audio
PAL,https://macaulaylibrary.org/asset/90555121,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90555121/audio
PAL,https://macaulaylibrary.org/asset/90397641,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90397641/audio
PAL,https://macaulaylibrary.org/asset/66084541,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66084541/audio
PAL,https://macaulaylibrary.org/asset/60292511,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60292511/audio
PAL,https://macaulaylibrary.org/asset/59696791,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/59696791/audio
PAL,https://macaulaylibrary.org/asset/38739941,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/38739941/audio
PAL,https://macaulaylibrary.org/asset/88147,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/88147/audio
PAL,https://macaulaylibrary.org/asset/28857271,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/28857271/audio
FH,https://macaulaylibrary.org/asset/441779801,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441779801/audio
FH,https://macaulaylibrary.org/asset/441773171,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441773171/audio
FH,https://macaulaylibrary.org/asset/441772151,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441772151/audio
FH,https://macaulaylibrary.org/asset/441534171,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441534171/audio
FH,https://macaulaylibrary.org/asset/441495411,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441495411/audio
FH,https://macaulaylibrary.org/asset/426176941,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/426176941/audio
FH,https://macaulaylibrary.org/asset/335847201,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/335847201/audio
FH,https://macaulaylibrary.org/asset/178119921,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/178119921/audio
FH,https://macaulaylibrary.org/asset/178119751,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/178119751/audio
FH,https://macaulaylibrary.org/asset/163235361,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/163235361/audio
FH,https://macaulaylibrary.org/asset/158888581,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158888581/audio
FH,https://macaulaylibrary.org/asset/154886051,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/154886051/audio
FH,https://macaulaylibrary.org/asset/154880821,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/154880821/audio
FH,https://macaulaylibrary.org/asset/146379601,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/146379601/audio
FH,https://macaulaylibrary.org/asset/111688841,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/111688841/audio
FH,https://macaulaylibrary.org/asset/109243771,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/109243771/audio
FH,https://macaulaylibrary.org/asset/38236491,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/38236491/audio
NV,https://macaulaylibrary.org/asset/441785341,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441785341/audio
NV,https://macaulaylibrary.org/asset/441775411,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441775411/audio
NV,https://macaulaylibrary.org/asset/440981191,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/440981191/audio
NV,https://macaulaylibrary.org/asset/440973331,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/440973331/audio
NV,https://macaulaylibrary.org/asset/201598221,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/201598221/mp4/1280
NV,https://macaulaylibrary.org/asset/201350081,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/201350081/mp4/1280
NV,https://macaulaylibrary.org/asset/201350071,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/201350071/mp4/1280
NV,https://macaulaylibrary.org/asset/201345681,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/201345681/mp4/1280
NV,https://macaulaylibrary.org/asset/203928421,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203928421/audio
NV,https://macaulaylibrary.org/asset/203914551,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203914551/audio
NV,https://macaulaylibrary.org/asset/162983901,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/162983901/audio
NV,https://macaulaylibrary.org/asset/159517141,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/159517141/audio
